vol_requests,category_desc,subcategory,Latitude,Longitude
5,Strengthening Communities,Admin & Office Support,40.710353,-74.004007
4,Strengthening Communities,General Support,40.7170829,-73.9893099
5,Education,Education,40.808639,-73.948582
100,Emergency Preparedness,Emergency Preparedness,40.6246,-74.026744
36,Helping Neighbors in Need,Food Security,40.713265,-74.007063
8,Education,Academic Tutoring,40.74053,-73.981899
20,Helping Neighbors in Need,ESL & Adult Literacy,40.668597,-73.976861
70,Education,Academic Tutoring,40.790263,-73.942688
2,Strengthening Communities,General Support,40.746817,-73.993655
50,Strengthening Communities,Youth Mentoring,40.739861,-73.9851916
5,Strengthening Communities,Admin & Office Support,40.7484356,-73.9940338
99,Strengthening Communities,General Support,40.720942,-73.997929
1,Helping Neighbors in Need,Admin & Office Support,40.70447,-74.009406
1,Helping Neighbors in Need,ESL & Adult Literacy,40.747993,-73.888827
5,Strengthening Communities,General Support,40.785298,-73.957263
25,Helping Neighbors in Need,Helping Neighbors in Need,40.865714,-73.886305
5,Education,Education,40.656068,-73.907245
2,Health,Health,40.793292,-73.951826
2,Strengthening Communities,Admin & Office Support,40.746817,-73.993655
150,Education,Education,40.787556,-73.971407
5,Strengthening Communities,General Support,40.785298,-73.957263
20,Strengthening Communities,Event Support,40.806654,-73.955649
1,Strengthening Communities,Event Support,40.713001,-74.004181
1,Education,Academic Tutoring,40.694682,-73.988853
15,Environment,Environment,40.7514126,-73.8832908
20,Strengthening Communities,Fundraising,40.7313422,-73.9887282
15,Education,ESL & Adult Literacy,40.8523117,-73.9120143
6,Helping Neighbors in Need,Food Security,40.758698,-73.970744
25,Strengthening Communities,Event Support,40.761762,-73.893139
1,Strengthening Communities,General Support,40.740887,-73.9995464
1,Strengthening Communities,General Support,40.6460705,-73.9551509
50,Strengthening Communities,Manual Labor & Environment,40.884999,-73.892977
8,Strengthening Communities,Manual Labor & Environment,40.7068045,-73.8315833
100,Environment,Environment,40.706397,-74.006341
30,Strengthening Communities,Manual Labor & Environment,40.7660142,-73.9646852
50,Helping Neighbors in Need,Helping Neighbors in Need,40.713265,-74.007063
99,Strengthening Communities,General Support,40.720942,-73.997929
8,Strengthening Communities,Professional Skills,40.7594193,-73.9892203
1,Health,Health,40.7484356,-73.9940338
50,Strengthening Communities,General Support,40.713265,-74.007063
500,Strengthening Communities,Event Support,40.7141085,-74.0083369
99,Strengthening Communities,General Support,40.720942,-73.997929
99,Strengthening Communities,General Support,40.720942,-73.997929
20,Helping Neighbors in Need,Manual Labor & Environment,40.746817,-73.993655
20,Strengthening Communities,Manual Labor & Environment,40.713797,-74.005494
